"행정구역","2023년_거주자_총인구수","2023년_거주자_연령구간인구수","2023년_거주자_0세","2023년_거주자_1세","2023년_거주자_2세","2023년_거주자_3세","2023년_거주자_4세","2023년_거주자_5세","2023년_거주자_6세","2023년_거주자_7세","2023년_거주자_8세","2023년_거주자_9세","2023년_거주자_10세","2023년_거주자_11세","2023년_거주자_12세","2023년_거주자_13세","2023년_거주자_14세","2023년_거주자_15세","2023년_거주자_16세","2023년_거주자_17세","2023년_거주자_18세","2023년_거주자_19세","2023년_거주자_20세","2023년_거주자_21세","2023년_거주자_22세","2023년_거주자_23세","2023년_거주자_24세","2023년_거주자_25세","2023년_거주자_26세","2023년_거주자_27세","2023년_거주자_28세","2023년_거주자_29세","2023년_거주자_30세","2023년_거주자_31세","2023년_거주자_32세","2023년_거주자_33세","2023년_거주자_34세","2023년_거주자_35세","2023년_거주자_36세","2023년_거주자_37세","2023년_거주자_38세","2023년_거주자_39세","2023년_거주자_40세","2023년_거주자_41세","2023년_거주자_42세","2023년_거주자_43세","2023년_거주자_44세","2023년_거주자_45세","2023년_거주자_46세","2023년_거주자_47세","2023년_거주자_48세","2023년_거주자_49세","2023년_거주자_50세","2023년_거주자_51세","2023년_거주자_52세","2023년_거주자_53세","2023년_거주자_54세","2023년_거주자_55세","2023년_거주자_56세","2023년_거주자_57세","2023년_거주자_58세","2023년_거주자_59세","2023년_거주자_60세","2023년_거주자_61세","2023년_거주자_62세","2023년_거주자_63세","2023년_거주자_64세","2023년_거주자_65세","2023년_거주자_66세","2023년_거주자_67세","2023년_거주자_68세","2023년_거주자_69세","2023년_거주자_70세","2023년_거주자_71세","2023년_거주자_72세","2023년_거주자_73세","2023년_거주자_74세","2023년_거주자_75세","2023년_거주자_76세","2023년_거주자_77세","2023년_거주자_78세","2023년_거주자_79세","2023년_거주자_80세","2023년_거주자_81세","2023년_거주자_82세","2023년_거주자_83세","2023년_거주자_84세","2023년_거주자_85세","2023년_거주자_86세","2023년_거주자_87세","2023년_거주자_88세","2023년_거주자_89세","2023년_거주자_90세","2023년_거주자_91세","2023년_거주자_92세","2023년_거주자_93세","2023년_거주자_94세","2023년_거주자_95세","2023년_거주자_96세","2023년_거주자_97세","2023년_거주자_98세","2023년_거주자_99세","2023년_거주자_100세 이상"
"경기도 경기도 양평군 (4183000000)","124,600","124,600","450","497","500","509","580","602","742","791","895","911","905","1,014","1,038","1,024","987","1,059","1,018","970","899","1,063","886","898","947","934","944","1,012","957","1,036","1,089","1,095","1,015","1,154","1,068","998","971","978","970","1,031","1,145","1,162","1,342","1,581","1,592","1,666","1,635","1,432","1,555","1,606","1,723","1,858","1,942","2,022","2,082","2,067","2,101","2,163","2,088","2,107","2,282","2,414","2,381","2,679","2,974","3,037","2,853","2,746","2,646","2,558","2,619","2,282","1,996","2,363","1,327","1,448","1,432","1,484","1,479","1,219","1,111","1,127","1,049","1,234","976","785","794","703","588","575","507","408","283","249","172","159","115","89","56","30","21","15","29"
"경기도 양평군 양평읍(4183025000)","35,486","35,486","182","201","165","194","223","198","282","278","303","325","314","333","363","365","341","383","373","377","332","373","336","347","367","343","364","392","325","416","409","432","399","411","392","368","348","368","352","356","407","384","453","541","504","606","526","502","478","538","593","609","652","646","631","618","615","605","584","600","601","602","584","641","687","654","613","607","565","509","537","459","420","470","262","266","267","320","271","255","226","206","226","247","209","167","148","127","104","101","90","84","59","49","41","32","20","12","10","4","2","6","4"
"경기도 양평군 강상면(4183031000)","9,961","9,961","55","55","56","52","51","84","78","80","103","95","103","85","117","93","94","84","97","74","89","67","63","65","71","69","62","76","71","73","76","79","85","83","79","67","74","93","76","89","130","128","112","168","158","157","139","140","151","153","163","181","159","157","147","138","167","172","143","159","131","192","167","210","222","231","198","192","206","170","196","163","169","180","105","95","117","101","123","106","72","64","63","92","56","45","54","60","40","35","26","21","17","19","11","13","3","2","3","2","3","0","1"
"경기도 양평군 강하면(4183032000)","4,831","4,831","15","11","15","18","17","11","27","8","20","19","13","21","22","16","17","26","22","19","15","27","28","31","32","25","35","22","32","31","43","35","35","24","33","29","34","27","37","29","34","31","47","45","46","48","54","29","43","38","53","53","48","73","68","74","85","91","89","69","101","116","113","121","156","160","148","159","136","146","155","118","101","108","80","91","93","76","81","61","54","45","41","56","57","29","29","30","22","22","18","19","8","9","6","8","3","5","6","2","1","1","1"
"경기도 양평군 양서면(4183033000)","13,819","13,819","38","46","59","50","62","48","69","84","92","78","84","118","94","92","109","119","91","106","72","134","101","103","92","107","94","117","113","124","105","127","111","129","114","90","131","86","103","109","121","118","134","153","184","179","180","145","148","160","174","181","222","238","253","251","260","261","251","222","254","275","254","305","327","358","325","323","343","293","296","263","212","254","177","201","168","183","193","137","137","128","120","157","95","88","80","75","64","68","65","41","32","29","18","13","12","7","4","3","2","0","4"
"경기도 양평군 옥천면(4183034000)","8,072","8,072","23","28","30","33","40","32","38","59","48","54","38","77","69","70","63","60","67","39","59","41","40","42","50","57","63","62","66","61","75","76","51","84","67","62","45","62","68","86","66","76","102","109","111","90","95","72","105","102","113","104","110","129","149","142","125","126","130","135","165","180","161","180","193","241","211","171","193","179","182","162","133","157","99","105","95","87","103","85","75","64","69","74","69","58","59","37","41","39","31","22","19","18","7","12","9","5","3","1","1","1","0"
"경기도 양평군 서종면(4183035000)","9,961","9,961","23","27","28","33","41","55","60","70","79","101","84","99","107","101","82","97","93","76","79","64","58","63","56","56","61","53","52","58","50","60","56","64","72","71","64","66","72","71","86","110","128","141","129","123","157","135","151","146","159","177","158","170","195","162","169","189","167","177","187","195","194","228","253","225","233","219","217","242","237","218","173","174","123","132","116","129","111","100","72","98","71","81","49","58","45","41","34","41","31","23","21","13","10","10","4","7","5","6","3","1","0"
"경기도 양평군 단월면(4183036000)","3,915","3,915","2","12","5","9","6","10","10","12","14","12","19","24","18","34","36","31","22","16","16","20","13","12","21","21","14","20","27","23","28","27","25","30","26","16","24","29","18","18","21","33","31","38","38","35","40","29","35","42","44","41","52","52","67","58","50","72","75","73","88","71","83","99","116","138","117","113","108","110","101","84","90","121","45","63","56","61","49","51","41","49","56","62","28","41","48","39","20","27","26","19","7","13","11","4","4","4","2","1","1","1","1"
"경기도 양평군 청운면(4183037000)","3,766","3,766","4","7","4","7","5","11","8","14","10","12","14","16","17","6","11","15","7","18","14","23","13","18","23","16","16","15","22","22","24","23","21","24","21","17","15","27","8","18","17","14","28","27","35","26","33","26","32","40","26","47","52","46","52","61","54","61","61","79","85","75","86","90","116","126","127","120","86","103","108","115","88","116","51","63","63","61","58","57","64","48","49","55","48","40","40","38","37","36","41","31","13","17","11","5","3","7","1","1","2","0","2"
"경기도 양평군 양동면(4183038000)","4,550","4,550","8","14","10","6","6","12","14","14","12","11","16","18","21","15","16","27","23","20","19","24","21","16","24","25","24","23","32","16","29","33","26","25","23","23","33","15","29","26","27","22","35","42","31","33","32","31","33","43","28","47","54","62","54","68","83","70","83","94","91","125","141","134","145","120","127","143","117","131","127","116","130","101","62","87","68","72","79","50","60","68","50","68","52","38","57","45","45","35","21","34","17","14","16","15","8","10","4","1","0","1","4"
